,name,lastName,uri,worthChange,age,source_x,industry,gender,country,realTimeWorth,source_y,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Self-Made Score,Philanthropy Score,self_made
848,Abigail Johnson,Johnson,abigail-johnson,0.0,59.0,money management,Finance & Investments,F,United States,25585.99,['money management'],money management,"Milton, Massachusetts",United States,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Hobart and William Smith",4,1,False
849,Donald Newhouse,Newhouse,donald-newhouse,-431.432,92.0,media,Media & Entertainment,M,United States,15135.68,['media'],media,"New York, New York",United States,Widowed,3,"Drop Out, Syracuse University",5,1,False
850,Graeme Hart,Hart,graeme-hart,-62.764,66.0,investments,Finance & Investments,M,New Zealand,8579.767,"['investments', ' Self Made']","investments, Self Made","Auckland, New Zealand",New Zealand,Married,2,,,,True
851,Viktor Vekselberg,Vekselberg,viktor-vekselberg,-6.121,64.0,"metals, energy",Energy,M,Russia,9476.655,"['metals', ' energy', ' Self Made']","metals, energy, Self Made","Moscow, Russia",Russia,Married,2,"Bachelor of Arts/Science, Moscow State University of Railway Engineering",,,True
852,Goh Cheng Liang,Goh,goh-cheng-liang,641.184,94.0,paints,Manufacturing,M,Singapore,16950.528,"['paints', ' Self Made']","paints, Self Made","Singapore, Singapore",Singapore,Widowed,3,,,,True
853,Uday Kotak,Kotak,uday-kotak,-68.866,62.0,banking,Finance & Investments,M,India,15462.184,"['banking', ' Self Made']","banking, Self Made","Mumbai, India",India,Married,2,"Bachelor of Arts/Science, University of Mumbai; Master of Business Administration, University of Mumbai",,,True
854,Jorge Paulo Lemann,Lemann,jorge-paulo-lemann,-21.455,82.0,beer,Food & Beverage,M,Brazil,15168.989,"['beer', ' Self Made']","beer, Self Made","Zurich, Switzerland",Brazil,Married,5,"Bachelor of Arts/Science, Harvard University",,,True
855,Jorn Rausing,Rausing,jorn-rausing,-4.566,61.0,packaging,Food & Beverage,M,Sweden,13021.03,['packaging'],packaging,"Surrey, United Kingdom",Sweden,,,,,,False
856,Hank & Doug Meijer,Meijer,hank-doug-meijer,0.0,,supermarkets,Fashion & Retail,M,United States,15622.59,['supermarkets'],supermarkets,"Grand Rapids, Michigan",United States,,,,3,2,False
857,Stefano Pessina,Pessina,stefano-pessina,97.212,80.0,drugstores,Fashion & Retail,M,Italy,10004.223,['drugstores'],drugstores,"Monte Carlo, Monaco",Italy,Divorced,2,"Bachelor of Engineering, Politecnico di Milano",,,False
858,Suleiman Kerimov,Kerimov & family,suleiman-kerimov-family,-356.399,55.0,investments,Finance & Investments,M,Russia,14695.737,"['investments', ' Self Made']","investments, Self Made","Moscow, Russia",Russia,Married,3,"Bachelor of Arts/Science, Dagestan State University",,,True
859,Stanley Kroenke,Kroenke,stanley-kroenke,0.0,74.0,"sports, real estate",Sports,M,United States,10662.0,"['sports', ' real estate', ' Self Made']","sports, real estate, Self Made","Electra, Texas",United States,Married,2,"Master of Business Administration, Robert J. Trulaske, Sr. College of Business; Bachelor of Arts/Science, University of Missouri",6,,True
860,Joseph Tsai,Tsai,joseph-tsai,51.238,57.0,e-commerce,Technology,M,Canada,8637.131,"['e-commerce', ' Self Made']","e-commerce, Self Made","Hong Kong, Hong Kong",Canada,Married,3,"Bachelor of Arts/Science, Yale University; Doctor of Jurisprudence, Yale University",,,True
861,Gordon Moore,Moore,gordon-moore,-218.086,92.0,Intel,Technology,M,United States,10317.977,"['Intel', ' Self Made']","Intel, Self Made","Woodside, California",United States,Married,2,"Doctorate, California Institute of Technology; Bachelor of Arts/Science, University of California, Berkeley",8,5,True
862,Jan Koum,Koum,jan-koum,-4.333,45.0,WhatsApp,Technology,M,United States,10626.931,"['WhatsApp', ' Self Made']","WhatsApp, Self Made","Atherton, California",United States,Single,,"Drop Out, San Jose State University",10,1,True
863,Robin Zeng,Zeng,robin-zeng,74.657,52.0,batteries,Energy,M,Hong Kong,57758.096,"['batteries', ' Self Made']","batteries, Self Made","Ningde, China",Hong Kong,,,"Doctorate, Chinese Academy of Social Sciences",,,True
864,John Fredriksen,Fredriksen,john-fredriksen,-12.249,76.0,shipping,Logistics,M,Cyprus,10676.669,"['shipping', ' Self Made']","shipping, Self Made","London, United Kingdom",Cyprus,Widowed,2,,,,True
865,Robert Kuok,Kuok,robert-kuok,71.408,98.0,"palm oil, shipping, property",Diversified,M,Malaysia,11117.234,"['palm oil', ' shipping', ' property', ' Self Made']","palm oil, shipping, property, Self Made","Hong Kong, Hong Kong",Malaysia,Married,8,"Bachelor of Arts/Science, Raffles College",,,True
